Course_ID,Price,StartingTime,FinishingTime
1,138,9:43 AM,6:30 PM
2,226,8:58 AM,7:33 PM
3,207,7:35 AM,6:50 PM
4,204,5:42 AM,7:29 PM
5,230,7:07 AM,7:20 PM
6,75,12:34 PM,7:13 PM
7,111,6:51 AM,7:13 PM
8,187,10:24 AM,6:58 PM
9,238,8:15 AM,7:19 PM
10,250,8:33 AM,7:18 PM
11,159,6:15 AM,7:10 PM
12,137,5:05 AM,5:22 PM
13,106,11:42 AM,6:28 PM
14,95,11:27 AM,7:37 PM
15,249,9:19 AM,6:56 PM
16,99,5:10 AM,7:17 PM
17,140,10:43 AM,5:51 PM
18,219,4:56 AM,6:45 PM
19,113,7:37 AM,6:11 PM
20,74,7:28 AM,5:19 PM
21,122,5:44 AM,6:08 PM
22,145,7:02 AM,7:27 PM
23,194,12:28 PM,6:38 PM
24,131,6:14 AM,5:38 PM
25,245,4:25 AM,5:07 PM
26,143,7:59 AM,6:25 PM
27,61,10:24 AM,5:15 PM
28,221,9:13 AM,7:49 PM
29,142,6:30 AM,6:01 PM
30,72,7:01 AM,6:13 PM
31,66,8:58 AM,6:53 PM
32,217,10:29 AM,6:43 PM
33,175,10:36 AM,7:23 PM
34,144,5:36 AM,7:08 PM
35,250,4:39 AM,7:39 PM
36,191,6:10 AM,5:56 PM
37,146,6:38 AM,5:37 PM
38,64,8:32 AM,6:57 PM
39,239,7:43 AM,6:32 PM
40,231,5:15 AM,6:11 PM
41,50,4:04 AM,5:03 PM
42,78,12:41 PM,6:23 PM
43,111,4:52 AM,6:05 PM
44,206,8:06 AM,6:01 PM
45,204,4:39 AM,6:02 PM
46,145,10:18 AM,6:57 PM
47,192,8:50 AM,6:25 PM
48,106,7:34 AM,7:22 PM
49,152,4:06 AM,7:16 PM
50,180,6:11 AM,6:47 PM
51,155,11:51 AM,5:51 PM
52,228,12:21 PM,7:15 PM
53,161,11:10 AM,7:27 PM
54,150,8:36 AM,6:06 PM
55,139,8:33 AM,5:27 PM
56,89,11:09 AM,5:42 PM
57,145,8:14 AM,6:46 PM
58,146,4:33 AM,5:02 PM
59,117,8:45 AM,5:34 PM
60,217,9:41 AM,7:15 PM
